Role	id	Number	Median	Mean	P10	P20	P25	P30	P40	P60	P70	P75	P80	P90
Managers, directors and senior officials	1	2,597	767.1	961.9	335.3	450.4	500.0	554.5	657.1	905.5	1,083.9	1,196.1	1,339.6	1,785.1
  Corporate managers and directors	11	2,161	842.0	1,030.9	352.2	488.7	548.1	601.5	718.7	982.8	1,171.3	1,288.7	1,422.3	1,878.2
    Chief executives and senior officials	111	89	1,505.4	1,758.5	387.2	733.1	874.5	967.7	1,257.5	1,758.0	1,977.9	2,204.0	2,337.9	x
      Chief executives and senior officials	1115	81	1,604.7	1,893.5	597.3	908.6	1,007.9	1,149.9	1,375.9	1,820.7	2,099.2	2,275.0	2,441.4	x
      Elected officers and representatives	1116	8	x	355.2	x	x	x	x	x	x	x	x	x	x
    Production managers and directors	112	603	860.3	1,001.3	383.3	547.4	601.0	657.0	758.9	974.8	1,149.9	1,245.7	1,361.4	1,810.1
      Production managers and directors in manufacturing	1121	486	863.2	1,016.9	367.5	538.5	600.3	657.9	762.8	999.9	1,183.1	1,285.5	1,394.7	1,839.8
      Production managers and directors in construction	1122	110	812.9	923.2	429.2	556.0	600.0	640.9	728.2	900.8	1,022.1	1,077.5	1,177.4	x
      Production managers and directors in mining and energy	1123	8	908.9	1,132.0	x	722.5	783.6	805.0	847.2	954.3	x	x	x	x
    Functional managers and directors	113	783	1,088.3	1,239.6	460.0	653.3	728.3	798.5	939.1	1,245.7	1,431.8	1,538.8	1,678.1	2,118.4
      Financial managers and directors	1131	293	1,149.9	1,311.3	423.6	631.7	710.3	792.6	958.2	1,299.0	1,502.3	1,619.4	1,762.9	2,295.2
      Marketing and sales directors	1132	187	1,378.7	1,463.2	574.9	811.2	916.0	1,003.3	1,177.3	1,533.2	1,728.0	1,852.2	1,990.9	2,375.5
      Purchasing managers and directors	1133	64	901.4	1,009.5	558.0	693.3	722.7	760.3	828.5	987.2	1,101.3	1,171.8	1,258.3	x
      Advertising and public relations directors	1134	11	1,054.3	1,136.1	x	674.5	719.2	790.5	951.1	1,149.9	1,353.1	x	x	x
      Human resource managers and directors	1135	128	881.6	944.4	478.9	601.0	657.3	709.4	802.1	963.4	1,073.2	1,138.9	1,210.6	1,395.8
      Information technology and telecommunications directors	1136	34	1,302.5	1,311.2	x	849.2	935.9	1,021.8	1,150.7	1,401.4	1,567.7	1,685.8	1,740.8	x
      Functional managers and directors n.e.c.	1139	65	952.7	1,062.1	x	460.0	523.0	621.7	787.2	1,110.7	1,262.3	1,364.0	1,505.5	x
    Financial institution managers and directors	115	80	947.5	1,217.2	531.4	633.2	672.6	708.0	821.1	1,072.7	1,235.5	1,311.2	1,437.4	x
      Financial institution managers and directors	1150	80	947.5	1,217.2	531.4	633.2	672.6	708.0	821.1	1,072.7	1,235.5	1,311.2	1,437.4	x
    Managers and directors in transport and logistics	116	208	587.9	664.8	345.0	421.6	460.0	483.1	536.7	657.3	725.9	767.5	822.4	1,017.2
      Managers and directors in transport and distribution	1161	72	690.5	798.0	406.1	517.5	559.7	584.7	644.6	766.6	862.0	926.3	979.5	x
      Managers and directors in storage and warehousing	1162	136	538.3	594.2	337.2	387.6	421.6	449.9	497.9	584.5	660.3	699.7	745.7	864.0
    Senior officers in protective services	117	17	1,089.9	1,133.8	737.7	921.8	970.3	987.2	1,049.8	1,136.4	1,215.4	1,220.1	x	x
      Officers in armed forces	1171	:												
      Senior police officers	1172	10	1,160.8	1,219.9	x	1,062.5	1,078.5	1,091.2	1,136.0	1,217.1	1,230.8	1,244.8	x	x
      Senior officers in fire, ambulance, prison and related services	1173	7	951.2	1,010.3	x	742.5	779.3	840.8	915.1	984.2	x	x	x	x
    Health and social services managers and directors	118	61	804.0	880.4	395.0	538.8	565.4	621.5	721.2	909.3	993.3	1,053.5	1,104.7	x
      Health services and public health managers and directors	1181	43	850.4	917.2	419.6	540.1	597.3	660.6	775.3	941.9	1,033.6	1,096.3	1,183.6	x
      Social services managers and directors	1184	18	717.7	790.1	389.1	499.4	558.6	565.7	636.5	793.3	899.1	923.7	x	x
